job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,company_name
AI Consultant,206532,EX,FT,Japan,M,Canada,100,"SQL, Deep Learning, MLOps, Linux",Bachelor,10,Technology,6.4,Cloud AI Solutions
Autonomous Systems Engineer,143218,SE,FL,Ireland,M,Finland,0,"SQL, Scala, Spark, Azure",PhD,8,Technology,9.3,Neural Networks Co
Head of AI,304991,EX,FT,Switzerland,L,Switzerland,100,"Azure, PyTorch, Kubernetes, NLP, Java",Associate,17,Manufacturing,6.5,Algorithmic Solutions
AI Specialist,167636,SE,CT,Switzerland,L,Switzerland,0,"Python, Linux, Hadoop, Statistics, Mathematics",Associate,5,Real Estate,7.1,Cloud AI Solutions
Autonomous Systems Engineer,63371,EN,FT,Ireland,M,Ireland,0,"Docker, Tableau, Data Visualization, Python, Statistics",Associate,1,Finance,6.7,AI Innovations
Head of AI,259484,EX,FL,United Kingdom,L,United Kingdom,100,"Scala, Hadoop, TensorFlow, GCP",PhD,19,Energy,5.7,Predictive Systems
AI Software Engineer,62606,EN,FL,Norway,S,Norway,100,"Tableau, TensorFlow, Git, Python",PhD,1,Real Estate,7.1,TechCorp Inc
AI Specialist,82442,MI,FL,Singapore,S,Singapore,100,"AWS, TensorFlow, Git",Associate,3,Transportation,8.8,Machine Intelligence Group
Head of AI,131432,SE,PT,Singapore,M,Sweden,50,"Kubernetes, Data Visualization, Deep Learning, Azure, Computer Vision",Master,5,Manufacturing,5.3,Cognitive Computing
Machine Learning Researcher,98345,EN,PT,Norway,M,Norway,100,"R, Linux, Java",Bachelor,0,Automotive,5.9,TechCorp Inc
NLP Engineer,96262,EN,CT,United Kingdom,L,United Kingdom,0,"Scala, Kubernetes, Git, GCP, Hadoop",PhD,0,Consulting,6.4,Digital Transformation LLC
Machine Learning Researcher,209546,EX,FT,Norway,M,Norway,100,"NLP, SQL, PyTorch, Git, Spark",Associate,11,Telecommunications,7.7,Smart Analytics
AI Research Scientist,87558,EN,CT,Australia,L,Australia,0,"NLP, Kubernetes, AWS",PhD,1,Transportation,7.5,Neural Networks Co
Robotics Engineer,78798,MI,FL,Singapore,M,Singapore,50,"Data Visualization, PyTorch, Git, Docker",Associate,2,Government,7.9,Predictive Systems
AI Specialist,204430,EX,FL,Australia,M,South Africa,0,"TensorFlow, Python, NLP, AWS, Git",Bachelor,16,Gaming,8.1,Neural Networks Co
Deep Learning Engineer,109730,EN,CT,Switzerland,M,Switzerland,0,"Python, Spark, Tableau",Master,1,Manufacturing,6.5,Neural Networks Co
AI Software Engineer,125478,SE,CT,Singapore,S,Singapore,100,"R, Linux, SQL, Statistics, Deep Learning",Master,9,Consulting,6.9,Smart Analytics
Deep Learning Engineer,91754,MI,FL,Netherlands,S,Netherlands,100,"Hadoop, TensorFlow, PyTorch",Associate,3,Transportation,6.8,Autonomous Tech
Robotics Engineer,102501,EN,FL,Switzerland,M,Switzerland,0,"SQL, GCP, Data Visualization, PyTorch, R",Master,1,Gaming,7.9,Cognitive Computing
Data Scientist,104982,EN,FL,Norway,L,Norway,50,"Java, Tableau, Mathematics, Scala",Bachelor,1,Transportation,5.6,Advanced Robotics
Machine Learning Researcher,138565,EX,CT,France,S,Vietnam,0,"NLP, Docker, Java",Bachelor,11,Media,7.8,Digital Transformation LLC
Principal Data Scientist,81389,MI,PT,South Korea,L,Turkey,0,"SQL, Hadoop, Tableau, Data Visualization",Associate,2,Technology,7.9,DataVision Ltd
AI Product Manager,125649,SE,FL,Ireland,L,Ireland,50,"Linux, Spark, Data Visualization, NLP",PhD,5,Automotive,10.0,Machine Intelligence Group
Head of AI,173201,SE,FL,Switzerland,S,Switzerland,100,"Computer Vision, Hadoop, Python",PhD,6,Finance,8.9,Machine Intelligence Group
Deep Learning Engineer,69497,EN,CT,Singapore,M,Singapore,0,"Tableau, Python, TensorFlow, NLP, Computer Vision",Associate,1,Education,7.0,Digital Transformation LLC
AI Architect,63620,EN,FL,Austria,L,Austria,100,"Linux, Spark, NLP, Kubernetes",Master,1,Energy,7.5,DataVision Ltd
ML Ops Engineer,129674,SE,CT,Canada,L,Canada,50,"MLOps, Python, NLP, Linux, Hadoop",Master,5,Energy,9.7,Smart Analytics
Head of AI,197686,EX,CT,Norway,M,Norway,50,"Kubernetes, Docker, Data Visualization, Git, Hadoop",PhD,17,Energy,5.2,Advanced Robotics
Data Scientist,85412,MI,PT,Ireland,L,Indonesia,100,"Deep Learning, Statistics, NLP, Kubernetes",Master,2,Government,9.8,TechCorp Inc
Machine Learning Engineer,70645,EN,CT,Canada,L,Canada,50,"Linux, Tableau, Python, PyTorch",Associate,1,Media,9.3,Machine Intelligence Group
Data Engineer,163915,SE,CT,Australia,L,Australia,50,"Scala, Azure, Tableau, Python",PhD,8,Real Estate,9.1,Advanced Robotics
Computer Vision Engineer,69221,EN,PT,Australia,S,Australia,0,"Python, MLOps, Docker",Bachelor,1,Media,5.7,TechCorp Inc
AI Software Engineer,151323,EX,FL,South Korea,L,South Korea,0,"Python, TensorFlow, Data Visualization, Scala, AWS",PhD,10,Media,5.6,Algorithmic Solutions
AI Software Engineer,45910,EN,FL,Austria,S,Austria,100,"Linux, Data Visualization, Git, Scala",Master,0,Automotive,9.7,Machine Intelligence Group
Computer Vision Engineer,100524,SE,FT,Israel,S,Chile,50,"TensorFlow, Hadoop, Kubernetes",Master,5,Real Estate,7.4,DeepTech Ventures
Data Engineer,101538,MI,CT,Singapore,S,France,0,"Kubernetes, Data Visualization, Python, Statistics, AWS",PhD,4,Telecommunications,5.9,Machine Intelligence Group
NLP Engineer,45174,EN,CT,South Korea,M,South Korea,50,"Python, Scala, SQL",Associate,0,Consulting,5.7,Quantum Computing Inc
AI Specialist,304170,EX,CT,Norway,M,Spain,50,"Python, Data Visualization, AWS, Docker, TensorFlow",Associate,17,Manufacturing,8.9,Digital Transformation LLC
AI Software Engineer,43362,EN,FT,Israel,S,Israel,0,"GCP, PyTorch, Kubernetes, AWS, Docker",Master,0,Consulting,5.0,DataVision Ltd
Data Analyst,93055,MI,FT,United States,M,United States,100,"Statistics, Kubernetes, Java, GCP, Scala",Master,3,Retail,7.2,Cloud AI Solutions
Machine Learning Researcher,140098,SE,CT,Singapore,S,Singapore,50,"PyTorch, Java, GCP",Associate,6,Finance,6.5,Future Systems
AI Architect,175545,EX,PT,Singapore,S,Singapore,100,"Git, Statistics, Python, Mathematics, Scala",Master,13,Automotive,9.1,Autonomous Tech
Computer Vision Engineer,28336,EN,CT,India,M,India,50,"Statistics, Mathematics, AWS",Bachelor,0,Telecommunications,6.9,TechCorp Inc
NLP Engineer,112570,SE,FL,South Korea,S,Romania,50,"Spark, Git, MLOps, Scala",PhD,6,Technology,8.1,TechCorp Inc
Autonomous Systems Engineer,49405,EN,PT,Canada,M,Canada,0,"Linux, Python, Tableau",PhD,0,Automotive,5.0,Digital Transformation LLC
AI Research Scientist,82438,EN,CT,Switzerland,S,Switzerland,0,"PyTorch, Java, MLOps",Associate,0,Finance,5.2,DataVision Ltd
AI Architect,120355,SE,FT,Singapore,M,Philippines,50,"Scala, Python, MLOps, SQL",Master,5,Gaming,5.8,Neural Networks Co
Machine Learning Engineer,48340,EN,CT,Canada,S,Canada,100,"PyTorch, R, Data Visualization",Bachelor,0,Finance,8.2,Future Systems
Machine Learning Engineer,219909,EX,CT,Norway,S,Norway,0,"SQL, Java, Scala, Spark",Bachelor,17,Media,7.7,Quantum Computing Inc
AI Architect,62156,EX,FL,India,M,India,100,"Java, R, NLP, Computer Vision, Kubernetes",Bachelor,14,Gaming,5.8,Smart Analytics
Machine Learning Researcher,173549,SE,FL,Switzerland,L,Germany,50,"Kubernetes, Scala, Spark",Bachelor,9,Consulting,8.6,Advanced Robotics
Head of AI,60712,EN,CT,France,M,France,50,"MLOps, Python, Docker",Master,1,Government,6.3,Predictive Systems
AI Specialist,211822,EX,FL,Japan,L,Indonesia,50,"Computer Vision, Hadoop, Python, SQL",Bachelor,13,Transportation,9.4,Cognitive Computing
Head of AI,126593,MI,FT,Switzerland,M,Switzerland,0,"Spark, Git, Linux",PhD,3,Education,7.0,Neural Networks Co
Data Scientist,111532,SE,FL,Austria,S,Austria,50,"NLP, Java, Computer Vision, R, Deep Learning",Master,6,Gaming,5.4,Algorithmic Solutions
AI Specialist,138421,SE,PT,Finland,L,Switzerland,0,"Deep Learning, Hadoop, PyTorch",Bachelor,8,Manufacturing,8.3,Future Systems
Principal Data Scientist,168724,EX,PT,Austria,L,Austria,0,"TensorFlow, Tableau, R, Java, Linux",PhD,18,Real Estate,7.0,DeepTech Ventures
AI Research Scientist,67394,EN,FT,Austria,M,Austria,100,"Tableau, Java, Python, Azure, R",PhD,0,Education,9.1,Algorithmic Solutions
AI Software Engineer,71511,EN,FL,Germany,M,Germany,50,"Mathematics, R, Java, Git, Linux",Bachelor,1,Government,5.2,Smart Analytics
AI Specialist,42629,EN,FT,South Korea,S,Sweden,0,"Spark, Hadoop, Tableau",Bachelor,0,Energy,5.1,Cloud AI Solutions
NLP Engineer,88355,MI,FL,Netherlands,S,Portugal,100,"Data Visualization, Azure, R, MLOps",Master,3,Real Estate,7.7,Autonomous Tech
AI Product Manager,78327,MI,PT,Finland,L,Finland,50,"Spark, AWS, SQL, Tableau",Associate,4,Finance,6.1,Predictive Systems
AI Software Engineer,198603,SE,FL,Switzerland,L,Turkey,100,"Spark, Git, Docker",Master,7,Technology,8.2,Cognitive Computing
NLP Engineer,98574,MI,FL,United States,S,United States,50,"GCP, Statistics, Hadoop",PhD,4,Finance,9.1,Machine Intelligence Group
Machine Learning Engineer,93871,SE,FL,Australia,S,Australia,100,"Scala, Java, AWS",Bachelor,5,Finance,9.1,Cognitive Computing
Data Engineer,82416,MI,FL,France,L,France,100,"Git, Tableau, Hadoop, Java, Linux",PhD,2,Telecommunications,9.1,Machine Intelligence Group
AI Research Scientist,148827,SE,PT,Germany,M,Australia,0,"Python, Spark, NLP, R",Associate,9,Finance,5.0,Neural Networks Co
AI Research Scientist,139257,SE,CT,United States,L,United States,50,"Azure, TensorFlow, Kubernetes, Computer Vision, Hadoop",Master,5,Manufacturing,7.4,DataVision Ltd
NLP Engineer,60940,EN,FT,United Kingdom,S,United Kingdom,50,"Scala, GCP, Tableau, Mathematics",Bachelor,1,Real Estate,7.8,Smart Analytics
Data Scientist,103458,EX,PT,India,L,India,0,"AWS, Docker, Spark, Java, Tableau",Master,19,Media,5.5,Future Systems
Data Engineer,87198,MI,PT,Germany,S,Germany,50,"Git, R, Kubernetes, Spark",Bachelor,2,Gaming,9.8,Autonomous Tech
Robotics Engineer,95988,MI,PT,Ireland,M,Switzerland,0,"PyTorch, Linux, Scala, Mathematics, GCP",Master,2,Real Estate,9.6,Autonomous Tech
AI Product Manager,60372,EN,FT,Japan,M,Japan,100,"GCP, Git, NLP, Python, SQL",Associate,0,Retail,8.1,AI Innovations
Deep Learning Engineer,116699,MI,FT,Singapore,M,Brazil,100,"Kubernetes, Python, Spark, Data Visualization, Deep Learning",Bachelor,2,Automotive,8.2,Cloud AI Solutions
Principal Data Scientist,143655,SE,FL,Finland,L,Finland,100,"MLOps, Spark, Java, NLP, SQL",Associate,7,Media,5.6,DeepTech Ventures
AI Research Scientist,150163,SE,PT,Sweden,M,Sweden,100,"Docker, Azure, Data Visualization, Spark, Kubernetes",Bachelor,8,Media,6.9,Cognitive Computing
Data Engineer,99160,MI,PT,Australia,M,Australia,50,"Java, Scala, Python",PhD,3,Media,7.6,Advanced Robotics
AI Research Scientist,61479,MI,FL,South Korea,M,South Korea,50,"Docker, Hadoop, TensorFlow, Spark",Master,3,Finance,6.0,Predictive Systems
Autonomous Systems Engineer,168477,SE,CT,Norway,M,Norway,0,"Spark, Linux, PyTorch, SQL",Master,8,Gaming,9.6,Autonomous Tech
AI Software Engineer,55913,EN,FT,Ireland,M,Estonia,50,"Tableau, Spark, PyTorch, SQL, Data Visualization",Master,0,Consulting,5.8,Future Systems
Machine Learning Engineer,44242,SE,FT,India,L,New Zealand,50,"Python, Hadoop, AWS, Statistics",Associate,6,Telecommunications,6.5,Quantum Computing Inc
Data Scientist,99081,SE,FT,Israel,M,Israel,100,"Java, Computer Vision, Kubernetes, Spark",PhD,8,Retail,8.1,Neural Networks Co
Research Scientist,266548,EX,FL,Finland,L,Finland,100,"Kubernetes, Azure, SQL, AWS",PhD,14,Real Estate,5.2,Machine Intelligence Group
Robotics Engineer,51214,EN,FT,Finland,S,Finland,0,"Azure, GCP, Java",Master,1,Retail,7.3,Quantum Computing Inc
Computer Vision Engineer,85546,MI,CT,France,M,Netherlands,50,"Spark, Python, SQL",Associate,3,Real Estate,9.9,Future Systems
Data Engineer,269378,EX,FT,Singapore,M,Singapore,0,"NLP, Python, SQL, Data Visualization",Master,15,Energy,8.8,AI Innovations
AI Specialist,122977,SE,PT,Finland,L,Finland,50,"Python, Azure, Spark",Associate,9,Government,7.1,Algorithmic Solutions
Robotics Engineer,129293,MI,PT,Norway,M,South Africa,0,"Mathematics, Linux, MLOps",Master,4,Media,7.0,TechCorp Inc
Head of AI,37889,SE,FT,India,M,India,100,"Scala, Deep Learning, MLOps, Python",Associate,8,Retail,8.9,DataVision Ltd
Data Scientist,203974,EX,FL,Ireland,L,Ireland,100,"Git, Python, Scala",Bachelor,17,Consulting,7.8,AI Innovations
AI Software Engineer,189605,SE,FT,Switzerland,S,Switzerland,0,"TensorFlow, Python, Tableau, Deep Learning",PhD,5,Real Estate,6.0,Cognitive Computing
AI Specialist,113043,SE,CT,United Kingdom,M,United Kingdom,0,"Deep Learning, Computer Vision, Tableau, Spark",PhD,8,Consulting,8.2,Digital Transformation LLC
AI Software Engineer,136851,SE,FT,United States,S,United States,100,"R, GCP, Scala",Bachelor,5,Finance,5.3,Machine Intelligence Group
AI Product Manager,164065,SE,PT,Singapore,L,Singapore,100,"Statistics, GCP, Linux, Hadoop",Bachelor,9,Technology,8.8,TechCorp Inc
AI Specialist,234802,EX,CT,Ireland,M,Ireland,0,"Spark, Kubernetes, Tableau, R, Linux",Master,12,Healthcare,8.3,Cognitive Computing
Principal Data Scientist,143077,EX,FT,Israel,M,Italy,50,"R, Spark, AWS, Scala, NLP",Master,12,Real Estate,5.8,Cognitive Computing
